Article,Cites,Year
"Nonlinear optical response in a zincblende GaN cylindrical quantum dot with donor impurity centerJH Hoyos, JD Correa, ME Mora-Ramos, CA Duque
Physica B: Condensed Matter 484, 73-82",,2016
"Localization properties of photonic modes in disordered nonlinear-Kerr/metamaterial heterostructuresE Reyes-Gómez, SB Cavalcanti, LE Oliveira
Superlattices and Microstructures 90, 1-7",,2016
"Multi-fractal analysis and lacunarity spectrum of the dark matter haloes in the SDSS-DR7CA Chacón-Cardona, RA Casas-Miranda, JC Muñoz-Cuartas
Chaos, Solitons & Fractals 82, 22-33",,2016
"Diboson anomaly: heavy Higgs resonance and QCD vectorlike exoticsD Aristizabal-Sierra, J Herrero-Garcia, D Restrepo, A Vicente
Physical Review D 93 (1), 015012",4,2016
"Fermion dark matter from SO (10) GUTsC Arbeláez, R Longas, D Restrepo, O Zapata
Physical Review D 93 (1), 013012",2,2016
"Inert extension of the Zee modelR Longas
Nuclear and Particle Physics Proceedings 267, 342-344",,2015
"Effects of features in the inflaton potential on the spectrum and bispectrum of primordial curvature perturbationsAG Cadavid, AE Romano
Nuclear and Particle Physics Proceedings 267, 254-256",,2015
"Zero-ϕ eff non-Bragg gap solitons in 1D Kerr polaritonic/metamaterial heterostructuresE Reyes-Gómez, SB Cavalcanti, LE Oliveira
Physica E: Low-dimensional Systems and Nanostructures",,2015
"A model with a viable dark matter candidate and massive neutrinosD Restrepo, A Rivera, M Sánchez, O Zapata
Nuclear and Particle Physics Proceedings 267, 367-369",,2015
"The assignment of Lepton number and neutrino masses in 3-3-1 modelsRH Benavides, WA Ponce
Nuclear and Particle Physics Proceedings 267, 370-375",,2015
"Slow light in semiconductor quantum dots: Effects of non-Markovianity and correlation of dephasing reservoirsD Mogilevtsev, E Reyes-Gómez, SB Cavalcanti, LE Oliveira
Physical Review B 92 (23), 235446",,2015
"A search for the ground state structure and the phase stability of tantalum pentoxideS Pérez-Walton, C Valencia-Balvín, ACM Padilha, GM Dalpian, ...
Journal of Physics: Condensed Matter 28 (3), 035801",,2015
"Multiband electronic characterization of the complex intermetallic cage system Y 1− x Gd x Co 2 Zn 20M Cabrera-Baez, A Naranjo-Uribe, JM Osorio-Guillén, C Rettori, MA Avila
Physical Review B 92 (21), 214414",,2015
"Effects of discontinuities of the derivatives of the inflaton potentialAG Cadavid, AE Romano
The European Physical Journal C 75 (12), 1-16",,2015
"Optical absorption and refractive index changes in a semiconductor quantum ring: Electric field and donor impurity effectsRE Acosta, AL Morales, CM Duque, ME Mora‐Ramos, CA Duque
physica status solidi (b)",,2015
"Complex magnetic states in Ni/Fe bi‐segmented nanorodsJ Mejía‐López, EA Velásquez, S López‐Moreno, J Mazo‐Zuluaga
physica status solidi (RRL)-Rapid Research Letters 9 (12), 740-744",,2015
"Papers submitted to the 16th International Conference on the Physics of Light-Matter Coupling in Nanostructures, PLMCN 2015 (Medellín, Colombia)A Nalitov, A Kavokin, CA Duque
Superlattices and Microstructures 87, 1-4",,2015
"X-ray magnetic circular dichroism on La 2/3 Ca 1/3 Mn 0.97 Fe 0.03 O 3 thin filmsAI Figueroa, GE Campillo, AA Baker, JA Osorio, OL Arnache, ...
Superlattices and Microstructures 87, 42-46",1,2015
"A meshless scheme for the calculation of electron and hole states in laterally coupled GaAs–Ga 1− x Al x As quantum dots under applied electric fieldMA Londoño, JH Rúa, JD Giraldo-Gómez, H Montegranario, ...
Superlattices and Microstructures 87, 77-82",1,2015
"Study of electron-related intersubband optical properties in three coupled quantum wells wires with triangular transversal sectionA Tiutiunnyk, V Tulupenko, V Akimov, R Demediuk, AL Morales, ...
Superlattices and Microstructures 87, 131-136",1,2015
"Intense laser field effects on a Woods–Saxon potential quantum wellRL Restrepo, AL Morales, V Akimov, V Tulupenko, E Kasapoglu, F Ungan, ...
Superlattices and Microstructures 87, 143-148",1,2015
"The formation of indirect excitons in atomic layer doped systemsME Mora-Ramos, CA Duque
Superlattices and Microstructures 87, 32-37",1,2015
"The polaritonic spectrum of two-dimensional photonic crystals based on uniaxial polar materialsHA Gómez-Urrea, CA Duque, ME Mora-Ramos
Superlattices and Microstructures 87, 58-63",1,2015
"Intersubband linear and nonlinear optical response of the delta-doped SiGe quantum wellCA Duque, V Akimov, R Demediuk, V Belykh, A Tiutiunnyk, AL Morales, ...
Superlattices and Microstructures 87, 125-130",1,2015
"Electronic and thermal properties of Biphenyl moleculesFG Medina, JH Ojeda, CA Duque, D Laroze
Superlattices and Microstructures 87, 89-96",1,2015
"Electron-related Raman scattering in dilute nitride GaAs/In x Ga 1− x N y As 1− y cylindrically shaped quantum dotsCM Duque, AL Morales, CA Duque, ME Mora-Ramos
Superlattices and Microstructures 87, 83-88",1,2015
"The phonon-polariton spectrum of one-dimensional Rudin–Shapiro photonic superlattices with uniaxial polar materialsHA Gómez-Urrea, CA Duque, ME Mora-Ramos
Superlattices and Microstructures 87, 115-119",,2015
"Donor-impurity-related second and third harmonic generation and optical absorption in GaAs-(Ga, Al) As 3D coupled quantum dot-rings under applied electric fieldCA Duque, ME Mora-Ramos, JD Correa
Superlattices and Microstructures 87, 25-31",1,2015
"Optical properties of a multibarrier structure under intense laser fieldsDA Ospina, V Akimov, ME Mora-Ramos, AL Morales, V Tulupenko, ...
Superlattices and Microstructures 87, 109-114",1,2015
"About possible THz modulator on the base of delta-doped QWsCA Duque, V Akimov, R Demediuk, V Belykh, A Tiutiunnyk, AL Morales, ...
Superlattices and Microstructures 87, 5-11",2,2015
"Propiedades ópticas de impurezas donadoras en anillos cuánticos sometidos a los efectos combinados de campo eléctrico y radiación láser intensa no resonanteCA Duque, Á Morales, M Mora-Ramos
Revista de la Academia Colombiana de Ciencias Exactas, Físicas y Naturales ...",,2015
"Design of Super-Paramagnetic Core–Shell Nanoparticles for Enhanced Performance of Inverted Polymer Solar CellsJ Jaramillo, BW Boudouris, CA Barrero, F Jaramillo
ACS applied materials & interfaces 7 (45), 25061-25068",1,2015
"Theoretical methods for attosecond electron and nuclear dynamics: applications to the H2 moleculeA Palacios, JL Sanz-Vicario, F Martín
Journal of Physics B: Atomic, Molecular and Optical Physics 48 (24), 242001",,2015
"¿ Y qué es lo que vemos?RH Henao
Revista Experimenta",,2015
"Correlation between vacancies and magnetoresistance changes in FM manganites using the Monte Carlo methodJD Agudelo-Giraldo, E Restrepo-Parra, J Restrepo
Journal of Magnetism and Magnetic Materials 391, 129-135",,2015
"A systematic first‐principles study of the tungsten trioxide polymorphsJC Alvarez‐Quiceno, GM Dalpian, JM Osorio‐Guillén
physica status solidi (b) 252 (10), 2290-2295",,2015
"The effects of the intense laser field on the nonlinear optical properties of a cylindrical Ga 1− x Al x As/GaAs quantum dot under applied electric fieldE Kasapoglu, CA Duque, ME Mora-Ramos, I Sökmen
Physica B: Condensed Matter 474, 15-20",1,2015
"Autocorrelation measurement of an ultra-short optical pulse using an electrically focus-tunable lensJ Serna, A Hamad, E Rueda, H Garcia
Journal of Optics 17 (10), 105505",,2015
"Computational Physics: Problem Solving with PythonRH Landau, MJ PÃ, CC Bordeianu
John Wiley & Sons",225,2015
"Assessing photocatalytic power of g-C3N4 for solar fuel production: A first-principles study involving quasi-particle theory and dispersive forcesJM Osorio-Guillén, WF Espinosa-García, CM Araujo
The Journal of chemical physics 143 (9), 094705",2,2015
"Probing the role of the galactic environment in the formation of stellar clusters, using M83 as a test benchA Adamo, JMD Kruijssen, N Bastian, E Silva-Villa, J Ryon
Monthly Notices of the Royal Astronomical Society 452 (1), 246-260",7,2015
"Donor impurity states and related optical response in a lateral coupled dot-ring system under applied electric fieldJD Correa, ME Mora-Ramos, CA Duque
Physica B: Condensed Matter 472, 25-33",2,2015
"Non-linear optical processes involving excited subbands in laser-dressed quantum wires with triangular cross-sectionA Radu, CA Duque
Physica E: Low-dimensional Systems and Nanostructures 72, 165-177",3,2015
"An Investigation of Circumbinary Planet Orbital Stability and Habitability to Identify Potential Planetary Systems with Several Habitable PlanetsPA Mason, J Zuluaga, PA Cuartas
IAU General Assembly 22, 56024",,2015
"Optimized and secure technique for multiplexing QR code images of single characters: application to noiseless messages retrievalS Trejos, JF Barrera, R Torroba
Journal of Optics 17 (8), 085702",,2015
"On intersubband absorption of radiation in delta-doped QWsV Tulupenko, CA Duque, V Akimov, R Demediuk, V Belykh, A Tiutiunnyk, ...
Physica E: Low-dimensional Systems and Nanostructures 74, 400-406",2,2015
"Sustainability of Transient Kinetic Regimes and Origins of DeathDY Zubarev, LA Pachón
arXiv preprint arXiv:1507.06160",,2015
"One-step reconstruction of assembled 3D holographic scenesAV Zea, JF Barrera-Ramírez, R Torroba
Optics & Laser Technology 75, 146-150",1,2015
"Radiative neutrino masses in the singlet-doublet fermion dark matter model with scalar singletsD Restrepo, A Rivera, M Sánchez-Peláez, O Zapata, W Tangarife
Physical Review D 92 (1), 013005",9,2015
"Constraints on Circumbinary HabitabilityPA Mason, JI Zuluaga, AG Zhilkin, DV Bisikalo, PA Cuartas-Restrepo
Living Together: Planets, Host Stars and Binaries 496, 405",,2015
"La evolución de la físicaG Pineda
Revista Universidad de Antioquia",,2015
"Circumbinary habitability nichesPA Mason, JI Zuluaga, PA Cuartas-Restrepo, JM Clark
International Journal of Astrobiology 14 (03), 391-400",1,2015
"La conceptualización del campo eléctrico y magnético. Análisis de las concepciones de los estudiantesBEO Velez, JA Osorio, LS Mejía, GE Campillo, R Covaleda
Revista CINTEX 20 (1)",,2015
"Non-Bragg-gap solitons in one-dimensional Kerr-metamaterial Fibonacci heterostructuresE Reyes-Gómez, SB Cavalcanti, LE Oliveira
Physical Review E 91 (6), 063205",,2015
"Psychophysical evaluation of the light sword optical element (LSOE) without axial symmetry for presbyopia compensationW Torres, A Mira, JF Barrera, R Henao, A Kolodziejczyk
Investigative Ophthalmology & Visual Science 56 (7), 2981-2981",,2015
"Quantum process tomography by 2D fluorescence spectroscopyLA Pachón, AH Marcus, A Aspuru-Guzik
The Journal of chemical physics 142 (21), 212442",,2015
"The Aristarchus Campaigns: Collaboratively measuring the Solar SystemJI Zuluaga, JC Figueroa
A Global Audience for the New Race to the Moon, 23",,2015
"Nonlinear optical rectification and second-harmonic generation in a semi-parabolic quantum well under intense laser field: Effects of electric and magnetic fieldsF Ungan, JC Martínez-Orozco, RL Restrepo, ME Mora-Ramos, ...
Superlattices and Microstructures 81, 26-33",13,2015
"Graphene samples preparation and some possible uses in developing optical communication devicesJDZ Caro, AMC Soto, RH Henao, EAT de Souza
Revista Facultad de Ingeniería, 108-117",,2015
"Alternative $ Z'$ Bosons in $ E_6$E Rojas, J Erler
arXiv preprint arXiv:1505.03208",,2015
